URL: jdbc:mysql://faure/cademccu
Connection: com.mysql.cj.jdbc.ConnectionImpl@2173f6d9

QUERY CHECKIN: UPDATE borrowed_by SET checkin_date = "2016/06/10" WHERE ISBN = "96-42103-10800" AND MemberID = 2011
	Book can be checked in!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10011" , 2011, "2016/06/10" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10006" , 2011, "2016/06/10" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKIN: UPDATE borrowed_by SET checkin_date = "2016/06/10" WHERE ISBN = "96-42103-10002" AND MemberID = 2012
	Book can be checked in!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10604" , 2012, "2016/06/10" , NULL)
	[ERROR] Cannot checkout, book does not exist at the library.

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10709" , 2012, "2016/06/10" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("97-34506-10709" , 2012, "2016/06/10" , NULL)
	[ERROR] Cannot checkout, book does not exist at the library.

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10022" , 1400, "2016/06/10" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKIN: UPDATE borrowed_by SET checkin_date = "2016/06/11" WHERE ISBN = "96-42103-10401" AND MemberID = 2020
	Book can be checked in!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10709" , 2020, "2016/06/11" , NULL)
	[ERROR] Cannot checkout, book does not exist at the library.

QUERY CHECKIN: UPDATE borrowed_by SET checkin_date = "2016/06/11" WHERE ISBN = "96-42103-11003" AND MemberID = 2022
	Book can be checked in!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKIN: UPDATE borrowed_by SET checkin_date = "2016/06/11" WHERE ISBN = "96-42103-10109" AND MemberID = 2022
	[ERROR] Book does not appear to have be checked out, and cannot be checked in.

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10093" , 2022, "2016/06/11" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("97-12413-10093" , 2022, "2016/06/11" , NULL)
	[ERROR] Cannot checkout, book does not exist at the library.

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-10093" , 1800, "2016/06/11" , NULL)
	Copy can be checked out!
	Success, Rows affected: 1
	[UPDATING BOOK COUNT] rows affected: 1

QUERY CHECKOUT: INSERT INTO borrowed_by (ISBN, MemberID, checkout_date, checkin_date) VALUES ("96-42103-11709" , 1800, "2016/06/11" , NULL)
	[ERROR] Cannot checkout, book does not exist at the library.

[Print the contents of the Borrowed_by table]

+----------------+----------+---------------+--------------+
| ISBN           | MemberID | checkout_date | checkin_date |
+----------------+----------+---------------+--------------+
| 96-42103-10001 |     1100 | 2016-04-27    | 2016-04-30   |
| 96-42103-10001 |     1300 | 2016-03-28    | 2016-04-04   |
| 96-42103-10001 |     2016 | 2016-04-07    | 2016-04-08   |
| 96-42103-10001 |     2021 | 2016-05-21    | 2016-05-26   |
| 96-42103-10002 |     1600 | 2016-05-04    | 2016-05-09   |
| 96-42103-10002 |     2009 | 2016-04-12    | 2016-04-13   |
| 96-42103-10002 |     2012 | 2016-05-27    | 2016-06-10   |
| 96-42103-10003 |     1100 | 2016-03-23    | 2016-03-24   |
| 96-42103-10003 |     2022 | 2016-05-06    | 2016-05-09   |
| 96-42103-10004 |     1500 | 2016-05-14    | 2016-05-16   |
| 96-42103-10004 |     1700 | 2016-04-05    | 2016-04-11   |
| 96-42103-10004 |     2017 | 2016-03-14    | 2016-03-16   |
| 96-42103-10004 |     2018 | 2016-03-25    | 2016-03-27   |
| 96-42103-10005 |     2000 | 2016-05-17    | 2016-05-21   |
| 96-42103-10006 |     2000 | 2016-05-08    | 2016-05-11   |
| 96-42103-10006 |     2002 | 2016-04-27    | 2016-05-02   |
| 96-42103-10006 |     2011 | 2016-06-10    | NULL         |
| 96-42103-10006 |     2012 | 2016-03-24    | 2016-03-28   |
| 96-42103-10007 |     1300 | 2016-05-11    | 2016-05-12   |
| 96-42103-10007 |     1400 | 2016-05-06    | 2016-05-11   |
| 96-42103-10007 |     2004 | 2016-04-21    | 2016-04-23   |
| 96-42103-10007 |     2009 | 2016-03-07    | 2016-03-13   |
| 96-42103-10008 |     1300 | 2016-04-20    | 2016-04-26   |
| 96-42103-10008 |     1400 | 2016-05-24    | 2016-05-29   |
| 96-42103-10008 |     1900 | 2016-05-01    | 2016-05-01   |
| 96-42103-10008 |     2002 | 2016-04-21    | 2016-04-25   |
| 96-42103-10008 |     2012 | 2016-04-26    | 2016-04-28   |
| 96-42103-10008 |     2013 | 2016-04-19    | 2016-04-23   |
| 96-42103-10008 |     2018 | 2016-05-10    | 2016-05-10   |
| 96-42103-10009 |     2009 | 2016-03-20    | 2016-03-22   |
| 96-42103-10009 |     2012 | 2016-03-28    | 2016-03-29   |
| 96-42103-10009 |     2015 | 2016-03-15    | 2016-03-19   |
| 96-42103-10009 |     2019 | 2016-03-11    | 2016-03-12   |
| 96-42103-10009 |     2022 | 2016-03-25    | 2016-03-29   |
| 96-42103-10011 |     1600 | 2016-03-20    | 2016-03-20   |
| 96-42103-10011 |     1800 | 2016-04-25    | 2016-04-26   |
| 96-42103-10011 |     2005 | 2016-04-20    | 2016-04-22   |
| 96-42103-10011 |     2011 | 2016-03-09    | 2016-03-11   |
| 96-42103-10011 |     2011 | 2016-06-10    | NULL         |
| 96-42103-10011 |     2022 | 2016-05-03    | 2016-05-06   |
| 96-42103-10022 |     1300 | 2016-03-09    | 2016-03-10   |
| 96-42103-10022 |     1400 | 2016-03-04    | 2016-03-07   |
| 96-42103-10022 |     1400 | 2016-06-10    | NULL         |
| 96-42103-10022 |     2009 | 2016-03-24    | 2016-03-30   |
| 96-42103-10022 |     2009 | 2016-04-10    | 2016-04-10   |
| 96-42103-10022 |     2020 | 2016-04-09    | 2016-04-10   |
| 96-42103-10033 |     1400 | 2016-03-26    | 2016-03-29   |
| 96-42103-10033 |     2003 | 2016-03-14    | 2016-03-15   |
| 96-42103-10033 |     2007 | 2016-03-19    | 2016-03-24   |
| 96-42103-10033 |     2009 | 2016-04-30    | 2016-05-02   |
| 96-42103-10033 |     2013 | 2016-05-17    | 2016-05-21   |
| 96-42103-10033 |     2016 | 2016-04-28    | 2016-04-30   |
| 96-42103-10033 |     2018 | 2016-03-05    | 2016-03-07   |
| 96-42103-10033 |     2018 | 2016-04-01    | 2016-04-07   |
| 96-42103-10033 |     2021 | 2016-03-14    | 2016-03-16   |
| 96-42103-10040 |     1100 | 2016-05-16    | 2016-05-16   |
| 96-42103-10040 |     1700 | 2016-05-18    | 2016-05-21   |
| 96-42103-10040 |     2001 | 2016-04-22    | 2016-04-25   |
| 96-42103-10040 |     2002 | 2016-05-22    | 2016-05-27   |
| 96-42103-10040 |     2003 | 2016-04-09    | 2016-04-14   |
| 96-42103-10040 |     2004 | 2016-04-27    | 2016-05-02   |
| 96-42103-10040 |     2011 | 2016-03-10    | 2016-03-16   |
| 96-42103-10054 |     2009 | 2016-04-29    | 2016-05-02   |
